#Channel Energy Counts
876 175.337 221653
877 175.509 222077
878 175.681 222320
879 175.853 221839
880 176.025 222380
881 176.197 221642
882 176.369 222587
883 176.541 221109
884 176.712 222187
885 176.884 222063
886 177.056 221884
887 177.228 222196
888 177.4 221607
889 177.572 222590
890 177.744 222512
891 177.915 222432
892 178.087 222679
893 178.259 221697
894 178.431 222866
895 178.603 222974
896 178.775 223517
897 178.947 222366
898 179.118 221569
899 179.29 222459
900 179.462 222897
901 179.634 222611
902 179.806 222231
903 179.978 222349
904 180.15 222902
905 180.322 222941
906 180.493 223162
907 180.665 223499
908 180.837 222873
909 181.009 223263
910 181.181 223983
911 181.353 223759
912 181.525 223917
913 181.696 224276
914 181.868 223220
915 182.04 224099
916 182.212 224085
917 182.384 223837
918 182.556 223688
919 182.728 223438
920 182.899 223503
921 183.071 223235
922 183.243 224083
923 183.415 223718
924 183.587 224741
925 183.759 224201
926 183.931 224367
927 184.102 223815
928 184.274 224636
929 184.446 224250
930 184.618 224725
931 184.79 223979
932 184.962 223591
933 185.134 224313
934 185.306 224660
935 185.477 224803
936 185.649 223915
937 185.821 224358
938 185.993 224814
939 186.165 225080
940 186.337 224246
941 186.509 224360
942 186.68 224605
943 186.852 224604
944 187.024 224562
945 187.196 224115
946 187.368 223804
947 187.54 224121
948 187.712 224025
949 187.883 224205
950 188.055 223741
951 188.227 223564
952 188.399 222720
953 188.571 223148
954 188.743 221247
955 188.915 221070
956 189.087 221419
957 189.258 220964
958 189.43 220718
959 189.602 219021
960 189.774 219716
961 189.946 219449
962 190.118 218204
963 190.29 217075
964 190.461 216773
965 190.633 216403
966 190.805 214679
967 190.977 213745
968 191.149 213998
969 191.321 211479
970 191.493 211278
971 191.664 210093
972 191.836 209436
973 192.008 207206
974 192.18 206327
975 192.352 205443
976 192.524 204415
977 192.696 202667
978 192.867 201579
979 193.039 200629
980 193.211 200408
981 193.383 198279
982 193.555 197772
983 193.727 196835
984 193.899 195529
985 194.071 194529
986 194.242 194651
987 194.414 193342
988 194.586 193471
989 194.758 192293
990 194.93 191323
991 195.102 191179
992 195.274 190067
993 195.445 189264
994 195.617 189171
995 195.789 188321
996 195.961 187891
997 196.133 187297
998 196.305 186775
999 196.477 186484
1000 196.648 186154
1001 196.82 185335
1002 196.992 185200
1003 197.164 184580
1004 197.336 183938
1005 197.508 183823
1006 197.68 184291
1007 197.852 183464
1008 198.023 182902
1009 198.195 182825
1010 198.367 182863
1011 198.539 182320
1012 198.711 182601
1013 198.883 182662
1014 199.055 180465
1015 199.226 181408
1016 199.398 182177
1017 199.57 180852
1018 199.742 180650
1019 199.914 179235
1020 200.086 181271
1021 200.258 180084
1022 200.429 180361
1023 200.601 180067
1024 200.773 179742
1025 200.945 180336
1026 201.117 180227
1027 201.289 180144
1028 201.461 179654
1029 201.632 179598
1030 201.804 179433
1031 201.976 180080
1032 202.148 180633
1033 202.32 180505
1034 202.492 180122
1035 202.664 178659
1036 202.836 179062
1037 203.007 179202
1038 203.179 179345
1039 203.351 179401
1040 203.523 178932
1041 203.695 178749
1042 203.867 179124
1043 204.039 179328
1044 204.21 179009
1045 204.382 178355
1046 204.554 178731
1047 204.726 178920
1048 204.898 178517
1049 205.07 177852
1050 205.242 177936
1051 205.413 178511
1052 205.585 178748
1053 205.757 178767
1054 205.929 179002
1055 206.101 178925
1056 206.273 179635
1057 206.445 178737
1058 206.617 178670
1059 206.788 178461
1060 206.96 178591
1061 207.132 178359
1062 207.304 178597
1063 207.476 176755
1064 207.648 176426
1065 207.82 175116
1066 207.991 174608
1067 208.163 173673
1068 208.335 173328
1069 208.507 173630
1070 208.679 173364
1071 208.851 171938
1072 209.023 172419
1073 209.194 172916
1074 209.366 172067
1075 209.538 171205
1076 209.71 172415
1077 209.882 171777
1078 210.054 171435
1079 210.226 171230
1080 210.398 170841
1081 210.569 171050
1082 210.741 171225
1083 210.913 170262
1084 211.085 170894
1085 211.257 170469
1086 211.429 171040
1087 211.601 170140
1088 211.772 169884
1089 211.944 169694
1090 212.116 168906
1091 212.288 170672
1092 212.46 169561
1093 212.632 169409
1094 212.804 169372
1095 212.975 169415
1096 213.147 169216
1097 213.319 168871
1098 213.491 168360
1099 213.663 167787
1100 213.835 168402
1101 214.007 167855
1102 214.178 167750
1103 214.35 168315
1104 214.522 167908
1105 214.694 167295
1106 214.866 167216
1107 215.038 167217
1108 215.21 166995
1109 215.382 167120
1110 215.553 166428
1111 215.725 166645
1112 215.897 166464
1113 216.069 166568
1114 216.241 165754
1115 216.413 166309
1116 216.585 166066
1117 216.756 165775
1118 216.928 165324
1119 217.1 165301
1120 217.272 165205
1121 217.444 164949
1122 217.616 164123
1123 217.788 164647
1124 217.959 164893
1125 218.131 164369
1126 218.303 163351
1127 218.475 163896
1128 218.647 163401
1129 218.819 164322
1130 218.991 163375
1131 219.163 163972
1132 219.334 163465
1133 219.506 163119
1134 219.678 163364
1135 219.85 163237
1136 220.022 162469
1137 220.194 161931
1138 220.366 162222
1139 220.537 162602
1140 220.709 161751
1141 220.881 161287
1142 221.053 161746
1143 221.225 161375
1144 221.397 161647
1145 221.569 161712
1146 221.74 161796
1147 221.912 161242
1148 222.084 160964
1149 222.256 161195
1150 222.428 160987
1151 222.6 160315
1152 222.772 160540
1153 222.943 159677
1154 223.115 159629
1155 223.287 160439
1156 223.459 159941
1157 223.631 159424
1158 223.803 159766
1159 223.975 159294
1160 224.147 159124
1161 224.318 158316
1162 224.49 158749
1163 224.662 159087
1164 224.834 159197
1165 225.006 158230
1166 225.178 158161
1167 225.35 158301
1168 225.521 157939
1169 225.693 157540
1170 225.865 158203
1171 226.037 157462
1172 226.209 157641
1173 226.381 157790
1174 226.553 157514
1175 226.724 157361
1176 226.896 157685
1177 227.068 157336
1178 227.24 156667
1179 227.412 156440
1180 227.584 156787
1181 227.756 155442
1182 227.928 156351
1183 228.099 156269
1184 228.271 156020
1185 228.443 155683
1186 228.615 155336
1187 228.787 155783
1188 228.959 155950
1189 229.131 156075
1190 229.302 156563
1191 229.474 155886
1192 229.646 156255
1193 229.818 155661
1194 229.99 156249
1195 230.162 155856
1196 230.334 155650
1197 230.505 156183
1198 230.677 155499
1199 230.849 156510
1200 231.021 155629
1201 231.193 155352
1202 231.365 154730
1203 231.537 154288
1204 231.708 155181
1205 231.88 154406
1206 232.052 153515
1207 232.224 153972
1208 232.396 153189
1209 232.568 154626
1210 232.74 153069
1211 232.912 153607
1212 233.083 154070
1213 233.255 153935
1214 233.427 152886
1215 233.599 154148
1216 233.771 153208
1217 233.943 154250
1218 234.115 154360
1219 234.286 155898
1220 234.458 157672
1221 234.63 160802
1222 234.802 166997
1223 234.974 174623
1224 235.146 186448
1225 235.318 205327
1226 235.489 229898
1227 235.661 268038
1228 235.833 317306
1229 236.005 385260
1230 236.177 471907
1231 236.349 579836
1232 236.521 710361
1233 236.693 858210
1234 236.864 1.02043e+06
1235 237.036 1.18538e+06
1236 237.208 1.34236e+06
1237 237.38 1.47086e+06
1238 237.552 1.56483e+06
1239 237.724 1.61418e+06
1240 237.896 1.61167e+06
1241 238.067 1.55732e+06
1242 238.239 1.45303e+06
1243 238.411 1.31807e+06
1244 238.583 1.1613e+06
1245 238.755 997172
1246 238.927 835971
1247 239.099 691534
1248 239.27 565788
1249 239.442 460813
1250 239.614 377320
1251 239.786 312725
1252 239.958 264655
1253 240.13 230617
1254 240.302 204257
1255 240.473 187139
1256 240.645 175301
1257 240.817 166723
1258 240.989 160327
1259 241.161 156263
1260 241.333 152530
1261 241.505 149663
1262 241.677 148048
1263 241.848 145837
1264 242.02 144702
1265 242.192 143600
1266 242.364 143286
1267 242.536 141998
1268 242.708 141123
1269 242.88 141250
1270 243.051 141499
1271 243.223 143131
1272 243.395 143137
1273 243.567 143460
1274 243.739 144934
1275 243.911 146244
1276 244.083 147068
1277 244.254 147695
1278 244.426 147317
1279 244.598 147363
1280 244.77 146635
1281 244.942 144851
1282 245.114 143817
1283 245.286 142234
1284 245.458 140850
1285 245.629 139066
1286 245.801 137561
1287 245.973 136113
1288 246.145 135543
1289 246.317 134267
1290 246.489 133306
1291 246.661 133034
